"Fecha","Transacción","Oficina","Documento","Débito","Crédito"
"11/04","Comision por consignacion nacional en corresponsal bancario","","0000005103","$14,735.00",""
"11/04","Abono por Deposito en Corresponsal de cliente Aval realizado el 04/11/2022","BANCA ELECTRONICA","0000341503","","$29,000.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 1000","BANCA ELECTRONICA","0000999999","","$850,000.00"
"11/04","Cr Ach Citibank Crediminuto Sas Nit9013087561","BANCA ELECTRONICA","","","$53,905,082.00"
"11/04","Gravamen Movimientos Financieros","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$260,985.00",""
"11/04","Comision recaudos con comprobante","","0000000001","$2,160.00",""
"11/04","Cargo Dispersion Pago de Nomina","","","$1,885,061.00",""
"11/04","Pago impuesto Nal por Corporate","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$53,458,000.00",""
"11/04","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 04/11/2022","BANCA ELECTRONICA","0000054510","","$374,673.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 300","BANCA ELECTRONICA","0000999999","","$25,500.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 300","BANCA ELECTRONICA","0000999999","","$206,500.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 400","BANCA ELECTRONICA","0000999999","","$1,000,000.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 500","BANCA ELECTRONICA","0000999999","","$1,310,000.00"
"11/04","Comision disfon nomina interna","","","$1,000.00",""
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 1800","BANCA ELECTRONICA","0000999999","","$1,900,000.00"
"11/04","Abono por Deposito en Corresponsal de cliente Aval realizado el 04/11/2022","BANCA ELECTRONICA","0000227890","","$900,000.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 4200","BANCA ELECTRONICA","0000999999","","$800,000.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 3200","BANCA ELECTRONICA","0000999999","","$4,700,000.00"
"11/04","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$190.00",""
"11/04","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$190.00",""
"11/04","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$190.00",""
"11/04","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$410.00",""
"11/04","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$851.00",""
"11/04","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$950.00",""
"11/04","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$16,800.00",""
"11/04","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$4,361.00",""
"11/04","Abono Recaudo Proveedor Servicios Electronicos - PSE","BANCA ELECTRONICA","","","$535,000.00"
"11/04","Cargo Dispersion Pago de Proveedores/Otros","","","$6,040,736.00",""
"11/04","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 04/11/2022","BANCA ELECTRONICA","0000246621","","$500,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 2500","BANCA ELECTRONICA","0000999999","","$250,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 800","BANCA ELECTRONICA","0000999999","","$77,000.00"
"11/03","Comision por consignacion nacional en corresponsal bancario","","0000000003","$14,735.00",""
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 1000","BANCA ELECTRONICA","0000999999","","$1,350,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 800","BANCA ELECTRONICA","0000999999","","$300,000.00"
"11/03","Abono por Deposito en Corresponsal de cliente Aval realizado el 03/11/2022","BANCA ELECTRONICA","0000128955","","$45,900.00"
"11/03","Deposito electronico ventas con tarjetas 16923013","CREDIBANCO","0116923013","","$170,270.00"
"11/03","Comision por consignacion nacional en corresponsal bancario","","0000000796","$14,735.00",""
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 3900","BANCA ELECTRONICA","0000999999","","$1,900,000.00"
"11/03","Comision por consignacion nacional en corresponsal bancario","","0000001548","$14,735.00",""
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 3500","BANCA ELECTRONICA","0000999999","","$1,300,000.00"
"11/03","Consignacion nacional $2,000,000.00 en efectivo $0.00 en cheque","CALI","","","$2,000,000.00"
"11/03","Cargo comision consignacion   -","CALI","0000002799","$14,730.00",""
"11/03","Cargo comision consignacion   -","CALI","0000002799","$14,730.00",""
"11/03","Consignacion nacional $2,100,000.00 en efectivo $0.00 en cheque","CALI","","","$2,100,000.00"
"11/03","Gravamen Movimientos Financieros","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$402.00",""
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 600","BANCA ELECTRONICA","0000999999","","$850,000.00"
"11/03","Cr Ach Bancolombia Payjoy Colombia Nit901344787 Fac Team Communication Payjo","BANCA ELECTRONICA","","","$9,630,056.00"
"11/03","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$5,598.00",""
"11/03","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$8,400.00",""
"11/03","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$2,052.00",""
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 800","BANCA ELECTRONICA","0000999999","","$300,000.00"
"11/03","Cargo transferencia por Internet o Banca Movil o Swift","","","$419,996.00",""
"11/03","Comision al Recaudador por Recaudos en Corresponsal Bancario","","","$10,800.00",""
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 1800","BANCA ELECTRONICA","0000999999","","$1,880,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 300","BANCA ELECTRONICA","0000999999","","$26,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 500","BANCA ELECTRONICA","0000999999","","$2,250,000.00"
"11/03","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 03/11/2022","BANCA ELECTRONICA","0000033290","","$962,850.00"
"11/03","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 03/11/2022","BANCA ELECTRONICA","0000915353","","$3,000.00"
"11/03","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 03/11/2022","BANCA ELECTRONICA","0000028388","","$1,100,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 300","BANCA ELECTRONICA","0000999999","","$17,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 4200","BANCA ELECTRONICA","0000999999","","$2,020,000.00"
"11/03","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 03/11/2022","BANCA ELECTRONICA","0000010364","","$169,704.00"
"11/03","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 03/11/2022","BANCA ELECTRONICA","0000703355","","$2,547.00"
"11/03","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 03/11/2022","BANCA ELECTRONICA","0000930374","","$547,040.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 800","BANCA ELECTRONICA","0000999999","","$9,600,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 400","BANCA ELECTRONICA","0000999999","","$700,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 800","BANCA ELECTRONICA","0000999999","","$50,000.00"
"11/03","Abono por recaudo de Servicios por CNB-Corresponsal Factura 3800","BANCA ELECTRONICA","0000999999","","$500,000.00"
"11/02","Abono por recaudo de Servicios por CNB-Corresponsal Factura 900206408","BANCA ELECTRONICA","0000999999","","$500,000.00"
"11/02","Abono por recaudo realizado en oficina cod de barras o QR","OFICINA CAUCASIA","0000001900","","$800,000.00"
"11/02","Abono por recaudo de Servicios por CNB-Corresponsal Factura 1800","BANCA ELECTRONICA","0000999999","","$580,000.00"
"11/02","Abono por recaudo de Servicios por CNB-Corresponsal Factura 800","BANCA ELECTRONICA","0000999999","","$50,000.00"
"11/02","Abono por recaudo de Servicios por CNB-Corresponsal Factura 2700","BANCA ELECTRONICA","0000999999","","$3,285,000.00"
"11/02","Cargo Dispersion Pago de Proveedores/Otros","","","$803,300.00",""
"11/02","Abono por recaudo realizado en oficina cod de barras o QR","PEREIRA","0000003300","","$80,000.00"
"11/02","Comision disfon proveedores interno","","","$1,000.00",""
"11/02","Abono por recaudo realizado en oficina cod de barras o QR","PEREIRA","0000003300","","$304,000.00"
"11/02","Abono por recaudo realizado en oficina cod de barras o QR","ARMENIA","0000002800","","$1,000,000.00"
"11/02","Cargo Dispersion Pago de Nomina","","","$700,000.00",""
"11/02","Abono por recaudo de Servicios por CNB-Corresponsal Factura 400","BANCA ELECTRONICA","0000999999","","$150,000.00"
"11/02","Cargo transferencia por Internet o Banca Movil o Swift","","","$1,778,350.00",""
"11/02","Deposito electronico ventas con tarjetas 16923013","CREDIBANCO","0116923013","","$19,360.00"
"11/02","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 02/11/2022","BANCA ELECTRONICA","0000703110","","$497,050.00"
"11/02","Abono por recaudo de Servicios por CNB-Corresponsal Factura 500","BANCA ELECTRONICA","0000999999","","$640,000.00"
"11/02","Gravamen Movimientos Financieros","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$6,140.00",""
"11/02","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 02/11/2022","BANCA ELECTRONICA","0000657119","","$471,200.00"
"11/02","Comision disfon proveedores interno","","","$1,000.00",""
"11/02","Abono por recaudo de Servicios por CNB-Corresponsal Factura 3200","BANCA ELECTRONICA","0000999999","","$292,000.00"
"11/02","Comision recaudos con codigo de barras o QR","","","$4,480.00",""
"11/02","Comision al Recaudador por Recaudos en Corresponsal Bancario","","","$20,250.00",""
"11/02","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$190.00",""
"11/02","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$190.00",""
"11/02","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$851.00",""
"11/02","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$3,848.00",""
"11/02","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 02/11/2022","BANCA ELECTRONICA","0000735127","","$684,273.00"
"11/02","Abono por recaudo de Servicios por CNB-Corresponsal Factura 300","BANCA ELECTRONICA","0000999999","","$7,000,000.00"
"11/01","Abono por Deposito en Corresponsal de cliente Aval realizado el 01/11/2022","BANCA ELECTRONICA","0000344994","","$3,000.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 2000","BANCA ELECTRONICA","0000999999","","$3,000,000.00"
"11/01","Deposito electronico ventas con tarjetas 16923013","CREDIBANCO","0116923013","","$72,363.00"
"11/01","Deposito electronico ventas con tarjetas 21081914","CREDIBANCO","0121081914","","$77,411.00"
"11/01","Deposito electronico ventas con tarjetas 21081914","CREDIBANCO","0121081914","","$794,465.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 500","BANCA ELECTRONICA","0000999999","","$6,460,000.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 3500","BANCA ELECTRONICA","0000999999","","$3,000,000.00"
"11/01","Comision al Recaudador por Recaudos en Corresponsal Bancario","","","$44,550.00",""
"11/01","Abono por recaudo realizado en oficina cod de barras o QR","OFICINA CAUCASIA","0000001900","","$1,400,000.00"
"11/01","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 01/11/2022","BANCA ELECTRONICA","0000050556","","$72,280.00"
"11/01","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 01/11/2022","BANCA ELECTRONICA","0000715750","","$450,000.00"
"11/01","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 01/11/2022","BANCA ELECTRONICA","0000011564","","$100,000.00"
"11/01","Cargo transferencia por Internet o Banca Movil o Swift","","","$2,920,786.00",""
"11/01","Cargo transferencia por Internet o Banca Movil o Swift","","","$48,543.00",""
"11/01","Cargo transferencia por Internet o Banca Movil o Swift","","","$362,293.00",""
"11/01","Cargo Dispersion Pago de Proveedores/Otros","","","$3,000,000.00",""
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 300","BANCA ELECTRONICA","0000999999","","$5,000.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 4200","BANCA ELECTRONICA","0000999999","","$1,730,000.00"
"11/01","Gravamen Movimientos Financieros","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$12,643.00",""
"11/01","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 01/11/2022","BANCA ELECTRONICA","0000894553","","$2,380.00"
"11/01","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 01/11/2022","BANCA ELECTRONICA","0000507656","","$2,380.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 1000","BANCA ELECTRONICA","0000999999","","$1,900,000.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 538039314","BANCA ELECTRONICA","0000999999","","$56,000.00"
"11/01","Abono por Deposito en Corresponsal de cliente Aval realizado el 01/11/2022","BANCA ELECTRONICA","0000266141","","$134,284.00"
"11/01","Comision por consignacion nacional en corresponsal bancario","","0000000495","$14,735.00",""
"11/01","Comision por consignacion nacional en corresponsal bancario","","0000008739","$14,735.00",""
"11/01","Comision por consignacion nacional en corresponsal bancario","","0000004619","$14,735.00",""
"11/01","Comision por consignacion nacional en corresponsal bancario","","0000004817","$14,735.00",""
"11/01","Comision por consignacion nacional en corresponsal bancario","","0000001154","$14,735.00",""
"11/01","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$190.00",""
"11/01","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$213.00",""
"11/01","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$16,800.00",""
"11/01","Cargo IVA","CENTRO COMERCIAL UNICENTRO MEDELLIN","","$8,465.00",""
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 300","BANCA ELECTRONICA","0000999999","","$5,000,000.00"
"11/01","Cargo transferencia por Internet o Banca Movil o Swift","","","$8,068.00",""
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 400","BANCA ELECTRONICA","0000999999","","$1,000,000.00"
"11/01","Comision recaudos con codigo de barras o QR","","","$1,120.00",""
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 3800","BANCA ELECTRONICA","0000999999","","$1,200,000.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 300","BANCA ELECTRONICA","0000999999","","$33,000.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 1128265101","BANCA ELECTRONICA","0000999999","","$500,000.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 200","BANCA ELECTRONICA","0000999999","","$2,200,000.00"
"11/01","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 01/11/2022","BANCA ELECTRONICA","0000814564","","$803,200.00"
"11/01","Comision disfon proveedores interno","","","$1,000.00",""
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 1800","BANCA ELECTRONICA","0000999999","","$1,330,000.00"
"11/01","Comision por consignacion nacional en corresponsal bancario","","0000003060","$14,735.00",""
"11/01","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 01/11/2022","BANCA ELECTRONICA","0000854750","","$2,380.00"
"11/01","Abono por recaudo de Servicios por CNB-Corresponsal Factura 300","BANCA ELECTRONICA","0000999999","","$200,000.00"
